ID,NAME,LAT,LONG,ELEVATION
22,h53399,41.150 ,114.700 ,1393.3
23,h53478,40.000 ,112.450 ,1345.8
24,h53487,40.100 ,113.333 ,1067.2
25,h53490,40.433 ,114.050 ,1014.7
26,h53578,39.367 ,112.433 ,1114.8
27,h53588,38.950 ,113.517 ,2208.3
28,h53593,39.833 ,114.567 ,909.5
29,h53594,39.450 ,114.183 ,938.7
30,h53673,38.733 ,112.717 ,828.2
31,h53687,37.783 ,113.633 ,753
32,h53787,37.067 ,112.983 ,1041.4
33,h53798,37.067 ,114.500 ,77.3
34,h53882,36.050 ,113.067 ,991.8
35,h53884,36.517 ,113.033 ,877.9
36,h53898,36.050 ,114.400 ,62.9
37,h53986,35.317 ,113.883 ,73.2
38,h54208,42.183 ,116.467 ,1245.4
39,h54308,41.217 ,116.633 ,661.2
40,h54311,41.933 ,117.750 ,842.8
41,h54401,40.783 ,114.883 ,724.2
42,h54405,40.400 ,115.500 ,536.8
43,h54406,40.450 ,115.967 ,487.9
44,h54416,40.383 ,116.867 ,71.8
45,h54423,40.983 ,117.950 ,385.9
46,h54429,40.200 ,117.950 ,54.9
47,h54436,40.400 ,118.950 ,227.5
48,h54449,39.850 ,119.517 ,2.4
49,h54511,39.800 ,116.467 ,31.3
50,h54518,39.117 ,116.383 ,9
51,h54525,39.733 ,117.283 ,5.1
52,h54527,39.083 ,117.067 ,2.5
53,h54534,39.667 ,118.150 ,27.8
54,h54539,39.433 ,118.883 ,10.5
55,h54602,38.850 ,115.517 ,17.2
56,h54606,38.233 ,115.733 ,19
57,h54618,38.083 ,116.550 ,13.2
58,h54623,39.050 ,117.717 ,4.8
59,h54624,38.367 ,117.350 ,6.6
60,h54705,37.367 ,115.383 ,27.4
61,h54715,37.333 ,116.567 ,18.6
62,h54725,37.483 ,117.533 ,11.7
63,h54808,36.233 ,115.667 ,37.8
