ID,NAME,LAT,LONG,ELEVATION
22,sol53399,41.150 ,114.700 ,1393.3
23,sol53478,40.000 ,112.450 ,1345.8
24,sol53487,40.100 ,113.333 ,1067.2
25,sol53490,40.433 ,114.050 ,1014.7
26,sol53578,39.367 ,112.433 ,1114.8
27,sol53588,38.950 ,113.517 ,2208.3
28,sol53593,39.833 ,114.567 ,909.5
29,sol53594,39.450 ,114.183 ,938.7
30,sol53673,38.733 ,112.717 ,828.2
31,sol53687,37.783 ,113.633 ,753
32,sol53787,37.067 ,112.983 ,1041.4
33,sol53798,37.067 ,114.500 ,77.3
34,sol53882,36.050 ,113.067 ,991.8
35,sol53884,36.517 ,113.033 ,877.9
36,sol53898,36.050 ,114.400 ,62.9
37,sol53986,35.317 ,113.883 ,73.2
38,sol54208,42.183 ,116.467 ,1245.4
39,sol54308,41.217 ,116.633 ,661.2
40,sol54311,41.933 ,117.750 ,842.8
41,sol54401,40.783 ,114.883 ,724.2
42,sol54405,40.400 ,115.500 ,536.8
43,sol54406,40.450 ,115.967 ,487.9
44,sol54416,40.383 ,116.867 ,71.8
45,sol54423,40.983 ,117.950 ,385.9
46,sol54429,40.200 ,117.950 ,54.9
47,sol54436,40.400 ,118.950 ,227.5
48,sol54449,39.850 ,119.517 ,2.4
49,sol54511,39.800 ,116.467 ,31.3
50,sol54518,39.117 ,116.383 ,9
51,sol54525,39.733 ,117.283 ,5.1
52,sol54527,39.083 ,117.067 ,2.5
53,sol54534,39.667 ,118.150 ,27.8
54,sol54539,39.433 ,118.883 ,10.5
55,sol54602,38.850 ,115.517 ,17.2
56,sol54606,38.233 ,115.733 ,19
57,sol54618,38.083 ,116.550 ,13.2
58,sol54623,39.050 ,117.717 ,4.8
59,sol54624,38.367 ,117.350 ,6.6
60,sol54705,37.367 ,115.383 ,27.4
61,sol54715,37.333 ,116.567 ,18.6
62,sol54725,37.483 ,117.533 ,11.7
63,sol54808,36.233 ,115.667 ,37.8
