ID,NAME,LAT,LONG,ELEVATION
22,t53399,41.150 ,114.700 ,1393.3
23,t53478,40.000 ,112.450 ,1345.8
24,t53487,40.100 ,113.333 ,1067.2
25,t53490,40.433 ,114.050 ,1014.7
26,t53578,39.367 ,112.433 ,1114.8
27,t53588,38.950 ,113.517 ,2208.3
28,t53593,39.833 ,114.567 ,909.5
29,t53594,39.450 ,114.183 ,938.7
30,t53673,38.733 ,112.717 ,828.2
31,t53687,37.783 ,113.633 ,753
32,t53787,37.067 ,112.983 ,1041.4
33,t53798,37.067 ,114.500 ,77.3
34,t53882,36.050 ,113.067 ,991.8
35,t53884,36.517 ,113.033 ,877.9
36,t53898,36.050 ,114.400 ,62.9
37,t53986,35.317 ,113.883 ,73.2
38,t54208,42.183 ,116.467 ,1245.4
39,t54308,41.217 ,116.633 ,661.2
40,t54311,41.933 ,117.750 ,842.8
41,t54401,40.783 ,114.883 ,724.2
42,t54405,40.400 ,115.500 ,536.8
43,t54406,40.450 ,115.967 ,487.9
44,t54416,40.383 ,116.867 ,71.8
45,t54423,40.983 ,117.950 ,385.9
46,t54429,40.200 ,117.950 ,54.9
47,t54436,40.400 ,118.950 ,227.5
48,t54449,39.850 ,119.517 ,2.4
49,t54511,39.800 ,116.467 ,31.3
50,t54518,39.117 ,116.383 ,9
51,t54525,39.733 ,117.283 ,5.1
52,t54527,39.083 ,117.067 ,2.5
53,t54534,39.667 ,118.150 ,27.8
54,t54539,39.433 ,118.883 ,10.5
55,t54602,38.850 ,115.517 ,17.2
56,t54606,38.233 ,115.733 ,19
57,t54618,38.083 ,116.550 ,13.2
58,t54623,39.050 ,117.717 ,4.8
59,t54624,38.367 ,117.350 ,6.6
60,t54705,37.367 ,115.383 ,27.4
61,t54715,37.333 ,116.567 ,18.6
62,t54725,37.483 ,117.533 ,11.7
63,t54808,36.233 ,115.667 ,37.8
