ID,NAME,LAT,LONG,ELEVATION
22,win53399,41.150 ,114.700 ,1393.3
23,win53478,40.000 ,112.450 ,1345.8
24,win53487,40.100 ,113.333 ,1067.2
25,win53490,40.433 ,114.050 ,1014.7
26,win53578,39.367 ,112.433 ,1114.8
27,win53588,38.950 ,113.517 ,2208.3
28,win53593,39.833 ,114.567 ,909.5
29,win53594,39.450 ,114.183 ,938.7
30,win53673,38.733 ,112.717 ,828.2
31,win53687,37.783 ,113.633 ,753
32,win53787,37.067 ,112.983 ,1041.4
33,win53798,37.067 ,114.500 ,77.3
34,win53882,36.050 ,113.067 ,991.8
35,win53884,36.517 ,113.033 ,877.9
36,win53898,36.050 ,114.400 ,62.9
37,win53986,35.317 ,113.883 ,73.2
38,win54208,42.183 ,116.467 ,1245.4
39,win54308,41.217 ,116.633 ,661.2
40,win54311,41.933 ,117.750 ,842.8
41,win54401,40.783 ,114.883 ,724.2
42,win54405,40.400 ,115.500 ,536.8
43,win54406,40.450 ,115.967 ,487.9
44,win54416,40.383 ,116.867 ,71.8
45,win54423,40.983 ,117.950 ,385.9
46,win54429,40.200 ,117.950 ,54.9
47,win54436,40.400 ,118.950 ,227.5
48,win54449,39.850 ,119.517 ,2.4
49,win54511,39.800 ,116.467 ,31.3
50,win54518,39.117 ,116.383 ,9
51,win54525,39.733 ,117.283 ,5.1
52,win54527,39.083 ,117.067 ,2.5
53,win54534,39.667 ,118.150 ,27.8
54,win54539,39.433 ,118.883 ,10.5
55,win54602,38.850 ,115.517 ,17.2
56,win54606,38.233 ,115.733 ,19
57,win54618,38.083 ,116.550 ,13.2
58,win54623,39.050 ,117.717 ,4.8
59,win54624,38.367 ,117.350 ,6.6
60,win54705,37.367 ,115.383 ,27.4
61,win54715,37.333 ,116.567 ,18.6
62,win54725,37.483 ,117.533 ,11.7
63,win54808,36.233 ,115.667 ,37.8
